No.,Length,StNum,SqNum,Boolean,hour,minute,second,microsecond,Source_eth1,Source_eth2,Source_eth3,Source_eth4,Source_eth5,Source_eth6,Destination_eth1,Destination_eth2,Destination_eth3,Destination_eth4,Destination_eth5,Destination_eth6,protocol,frame_number,frame_length,dnp3_length,dfc_bit,link_src,link_dst,FIR,FIN,SEQ,iin_device_restart,iin_device_trouble,iin_digital_outputs_in_local,iin_time_sync_required,iin_class3_data_available,iin_class2_data_available,iin_class1_data_available,iin_broadcast_msg_rx,iin_configuration_corrupt,iin_operation_already_executing,iin_event_buffer_overflow,iin_parameters_invalid_or_out_of_range,iin_requested_objects_unknown,iin_function_code_not_implemented,source_port,source_ip1,source_ip2,source_ip3,source_ip4,destination_port,destination_ip1,destination_ip2,destination_ip3,destination_ip4,primary_func_1,primary_func_4,primary_func_14,primary_func_15,function_0,function_1,function_2,function_3,function_4,function_5,function_6,function_7,function_8,function_9,function_10,function_11,function_12,function_13,function_14,function_129,function_130
153,0,15,1272254,FALSE,11,18,27,6439,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,0.954545455,515,21,TRUE,11,18,27,794095,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,0,15,1272255,FALSE,11,18,28,10595,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,0.954545455,515,22,TRUE,11,18,28,793988,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,28,998112,,,,,,,,,,,,,DNP3,637,0.098901099,0.111111111,0,70,72,1,1,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,29,10051,,,,,,,,,,,,,DNP3,639,0.021978022,0.024691358,0,72,70,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
157,0,15,1272256,FALSE,11,18,29,14559,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,0.954545455,515,23,TRUE,11,18,29,793993,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,0,15,1272257,FALSE,11,18,30,19082,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,0.954545455,515,24,TRUE,11,18,30,794173,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,31,11012,,,,,,,,,,,,,DNP3,647,0.098901099,0.111111111,0,70,72,1,1,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,31,14108,,,,,,,,,,,,,DNP3,649,0.021978022,0.024691358,0,72,70,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
161,0,15,1272258,FALSE,11,18,31,23232,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,0.954545455,515,25,TRUE,11,18,31,794330,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,0,15,1272259,FALSE,11,18,32,26902,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,0.954545455,515,26,TRUE,11,18,32,794576,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,33,24126,,,,,,,,,,,,,DNP3,657,0.098901099,0.111111111,0,70,72,1,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,0,15,1272260,FALSE,11,18,33,27069,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,33,40324,,,,,,,,,,,,,DNP3,659,0.021978022,0.024691358,0,72,70,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
166,0.954545455,515,27,TRUE,11,18,33,794433,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,0,15,1272261,FALSE,11,18,34,30824,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,0.954545455,515,28,TRUE,11,18,34,794490,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,0,15,1272262,FALSE,11,18,35,34918,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,35,37094,,,,,,,,,,,,,DNP3,667,0.098901099,0.111111111,0,70,72,1,1,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,35,53046,,,,,,,,,,,,,DNP3,669,0.021978022,0.024691358,0,72,70,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
170,0.954545455,515,29,TRUE,11,18,35,794641,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,0,15,1272263,FALSE,11,18,36,39650,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,0.954545455,515,30,TRUE,11,18,36,794700,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,0,15,1272264,FALSE,11,18,37,43117,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,37,50065,,,,,,,,,,,,,DNP3,677,0.098901099,0.111111111,0,70,72,1,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,37,61082,,,,,,,,,,,,,DNP3,679,0.021978022,0.024691358,0,72,70,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
174,0.954545455,515,31,TRUE,11,18,37,795115,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,0,15,1272265,FALSE,11,18,38,47796,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,0.954545455,515,32,TRUE,11,18,38,794886,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,0,15,1272266,FALSE,11,18,39,51374,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,39,63154,,,,,,,,,,,,,DNP3,687,0.098901099,0.111111111,0,70,72,1,1,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,39,72101,,,,,,,,,,,,,DNP3,689,0.021978022,0.024691358,0,72,70,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
178,0.954545455,515,33,TRUE,11,18,39,795017,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,0,15,1272267,FALSE,11,18,40,56243,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0.954545455,515,34,TRUE,11,18,40,795145,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,0,15,1272268,FALSE,11,18,41,55574,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,41,76124,,,,,,,,,,,,,DNP3,697,0.098901099,0.111111111,0,70,72,1,1,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0.954545455,515,35,TRUE,11,18,41,795194,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,41,79722,,,,,,,,,,,,,DNP3,699,0.021978022,0.024691358,0,72,70,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
183,0,15,1272269,FALSE,11,18,42,59912,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,0.954545455,515,36,TRUE,11,18,42,795546,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,0,15,1272270,FALSE,11,18,43,63537,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,0.954545455,515,37,TRUE,11,18,43,795440,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,43,89108,,,,,,,,,,,,,DNP3,707,0.098901099,0.111111111,0,70,72,1,1,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,43,92304,,,,,,,,,,,,,DNP3,709,0.021978022,0.024691358,0,72,70,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
187,0,15,1272271,FALSE,11,18,44,68256,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,0.954545455,515,38,TRUE,11,18,44,795563,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,45,102071,,,,,,,,,,,,,DNP3,717,0.098901099,0.111111111,0,70,72,1,1,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,45,105178,,,,,,,,,,,,,DNP3,719,0.021978022,0.024691358,0,72,70,1,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
190,0.909090909,516,0,FALSE,11,18,45,658115,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,0.909090909,516,1,FALSE,11,18,45,662325,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,0.954545455,516,2,FALSE,11,18,45,666407,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,0.954545455,516,3,FALSE,11,18,45,674731,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,0,15,1272272,FALSE,11,18,45,72119,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,0.954545455,516,4,FALSE,11,18,46,674808,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,0,15,1272273,FALSE,11,18,46,76022,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,47,115064,,,,,,,,,,,,,DNP3,727,0.098901099,0.111111111,0,70,72,1,1,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,47,117862,,,,,,,,,,,,,DNP3,729,0.021978022,0.024691358,0,72,70,1,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
197,0.954545455,516,5,FALSE,11,18,47,675362,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,0,15,1272274,FALSE,11,18,47,80045,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,0.954545455,516,6,FALSE,11,18,48,674875,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,0,15,1272275,FALSE,11,18,48,84684,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,49,128058,,,,,,,,,,,,,DNP3,737,0.098901099,0.111111111,0,70,72,1,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,49,144546,,,,,,,,,,,,,DNP3,739,0.021978022,0.024691358,0,72,70,1,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
201,0.954545455,516,7,FALSE,11,18,49,678960,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
200,0,15,1272276,FALSE,11,18,49,84007,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,0.954545455,516,8,FALSE,11,18,50,683613,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,0,15,1272277,FALSE,11,18,50,88988,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,51,141035,,,,,,,,,,,,,DNP3,747,0.098901099,0.111111111,0,70,72,1,1,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,51,144388,,,,,,,,,,,,,DNP3,749,0.021978022,0.024691358,0,72,70,1,1,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
205,0.954545455,516,9,FALSE,11,18,51,687233,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,0,15,1272278,FALSE,11,18,51,92231,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
207,0.954545455,516,10,FALSE,11,18,52,691646,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,0,15,1272279,FALSE,11,18,52,96369,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,0,15,1272280,FALSE,11,18,53,100477,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,53,154229,,,,,,,,,,,,,DNP3,757,0.098901099,0.111111111,0,70,72,1,1,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,53,157308,,,,,,,,,,,,,DNP3,759,0.021978022,0.024691358,0,72,70,1,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
209,0.954545455,516,11,FALSE,11,18,53,695466,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,0,15,1272281,FALSE,11,18,54,104602,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
211,0.954545455,516,12,FALSE,11,18,54,699823,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,0,15,1272282,FALSE,11,18,55,109027,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,55,166984,,,,,,,,,,,,,DNP3,767,0.098901099,0.111111111,0,70,72,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,55,170075,,,,,,,,,,,,,DNP3,769,0.021978022,0.024691358,0,72,70,1,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
213,0.954545455,516,13,FALSE,11,18,55,704048,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,0,15,1272283,FALSE,11,18,56,112766,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,0.954545455,516,14,FALSE,11,18,56,704010,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,0,15,1272284,FALSE,11,18,57,112664,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,57,180092,,,,,,,,,,,,,DNP3,777,0.098901099,0.111111111,0,70,72,1,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,57,183537,,,,,,,,,,,,,DNP3,779,0.021978022,0.024691358,0,72,70,1,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
217,0.954545455,516,15,FALSE,11,18,57,707820,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,0,15,1272285,FALSE,11,18,58,116761,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
219,0.954545455,516,16,FALSE,11,18,58,711833,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,0,15,1272286,FALSE,11,18,59,120908,0,30,a7,38,43,96,1,0c,cd,1,0,12,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,11,18,59,193073,,,,,,,,,,,,,DNP3,787,0.098901099,0.111111111,0,70,72,1,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44100,192,168,1,70,20000,192,168,1,72,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,,,11,18,59,196348,,,,,,,,,,,,,DNP3,789,0.021978022,0.024691358,0,72,70,1,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20000,192,168,1,72,44100,192,168,1,70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
221,0.954545455,516,17,FALSE,11,18,59,716185,0,30,a7,15,ab,f9,1,0c,cd,1,0,10,GOOSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
